study_id,treatment,replicate,time_hours,time_days,source_day_label,source_reported_time_days,temperature_c,carbon_material,process_temperature_c,dose_g_l,raw_cumulative_methane_ml,blank_mean_cumulative_methane_ml,methane_ml_g_vs,included_in_benchmark,exclusion_reason,data_origin,source_doi
kozlowski_2025_scientific_reports,food_waste_hydrochar_240c,1,7,0.29166667,1,0.07291667,37,hydrochar,240,5.0,140.70000000,46.20000000,21.35307361,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_hydrochar_240c,2,7,0.29166667,1,0.07291667,37,hydrochar,240,5.0,162.00000000,46.20000000,26.16598862,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_hydrochar_240c,3,7,0.29166667,1,0.07291667,37,hydrochar,240,5.0,137.40000000,46.20000000,20.60741072,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,1,8,0.33333333,1,0.08333333,37,none,,0.0,168.20000000,50.00000000,26.70828890,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,2,8,0.33333333,1,0.08333333,37,none,,0.0,179.00000000,50.00000000,29.14864017,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,3,8,0.33333333,1,0.08333333,37,none,,0.0,160.50000000,50.00000000,24.96840883,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,1,8,0.33333333,1,0.08333333,37,torrefaction_product,240,5.0,194.00000000,50.00000000,32.53801693,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,2,8,0.33333333,1,0.08333333,37,torrefaction_product,240,5.0,1.20000000,50.00000000,-11.02677240,false,excluded_from_publisher_mean; inconsistent_raw_signal,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,3,8,0.33333333,1,0.08333333,37,torrefaction_product,240,5.0,206.50000000,50.00000000,35.36249757,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,1,8,0.33333333,1,0.08333333,37,biochar,600,5.0,199.10000000,50.00000000,33.69040503,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,2,8,0.33333333,1,0.08333333,37,biochar,600,5.0,174.70000000,50.00000000,28.17701883,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,3,8,0.33333333,1,0.08333333,37,biochar,600,5.0,30.60000000,50.00000000,-4.38359395,false,excluded_from_publisher_mean; inconsistent_raw_signal,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_hydrochar_240c,1,8,0.33333333,1,0.08333333,37,hydrochar,240,5.0,155.50000000,50.00000000,23.83861657,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_hydrochar_240c,2,8,0.33333333,1,0.08333333,37,hydrochar,240,5.0,187.90000000,50.00000000,31.15967038,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_hydrochar_240c,3,8,0.33333333,1,0.08333333,37,hydrochar,240,5.0,152.90000000,50.00000000,23.25112460,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,1,9,0.37500000,1,0.09375000,37,none,,0.0,182.50000000,53.93333333,29.05072484,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,2,9,0.37500000,1,0.09375000,37,none,,0.0,193.90000000,53.93333333,31.62665118,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,3,9,0.37500000,1,0.09375000,37,none,,0.0,178.70000000,53.93333333,28.19208273,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,1,9,0.37500000,1,0.09375000,37,torrefaction_product,240,5.0,211.40000000,53.93333333,35.58092407,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,2,9,0.37500000,1,0.09375000,37,torrefaction_product,240,5.0,1.30000000,53.93333333,-11.89294647,false,excluded_from_publisher_mean; inconsistent_raw_signal,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,3,9,0.37500000,1,0.09375000,37,torrefaction_product,240,5.0,223.00000000,53.93333333,38.20204210,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,1,9,0.37500000,1,0.09375000,37,biochar,600,5.0,214.90000000,53.93333333,36.37177865,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,2,9,0.37500000,1,0.09375000,37,biochar,600,5.0,201.60000000,53.93333333,33.36653125,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,3,9,0.37500000,1,0.09375000,37,biochar,600,5.0,31.30000000,53.93333333,-5.11419294,false,excluded_from_publisher_mean; inconsistent_raw_signal,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_hydrochar_240c,1,9,0.37500000,1,0.09375000,37,hydrochar,240,5.0,171.80000000,53.93333333,26.63296942,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
